country,sex,age
australia,both_sexes,0-44
australia,both_sexes,0-64
australia,both_sexes,45-64
australia,both_sexes,65+
australia,both_sexes,all_ages
australia,men,0-44
australia,men,0-64
australia,men,45-64
australia,men,65+
australia,men,all_ages
australia,women,0-44
australia,women,0-64
australia,women,45-64
australia,women,65+
australia,women,all_ages
austria,both_sexes,0-44
austria,both_sexes,0-64
austria,both_sexes,45-64
austria,both_sexes,65+
austria,both_sexes,all_ages
austria,men,0-44
austria,men,0-64
austria,men,45-64
austria,men,65+
austria,men,all_ages
austria,women,0-44
austria,women,0-64
austria,women,45-64
austria,women,65+
austria,women,all_ages
belgium,both_sexes,0-44
belgium,both_sexes,0-64
belgium,both_sexes,45-64
belgium,both_sexes,65+
belgium,both_sexes,all_ages
belgium,men,0-44
belgium,men,0-64
belgium,men,45-64
belgium,men,65+
belgium,men,all_ages
belgium,women,0-44
belgium,women,0-64
belgium,women,45-64
belgium,women,65+
belgium,women,all_ages
bulgaria,both_sexes,0-44
bulgaria,both_sexes,0-64
bulgaria,both_sexes,45-64
bulgaria,both_sexes,65+
bulgaria,both_sexes,all_ages
bulgaria,men,0-44
bulgaria,men,0-64
bulgaria,men,45-64
bulgaria,men,65+
bulgaria,men,all_ages
bulgaria,women,0-44
bulgaria,women,0-64
bulgaria,women,45-64
bulgaria,women,65+
bulgaria,women,all_ages
canada,both_sexes,0-44
canada,both_sexes,0-64
canada,both_sexes,45-64
canada,both_sexes,65+
canada,both_sexes,all_ages
canada,men,0-44
canada,men,0-64
canada,men,45-64
canada,men,65+
canada,men,all_ages
canada,women,0-44
canada,women,0-64
canada,women,45-64
canada,women,65+
canada,women,all_ages
chile,both_sexes,0-44
chile,both_sexes,0-64
chile,both_sexes,45-64
chile,both_sexes,65+
chile,both_sexes,all_ages
chile,men,0-44
chile,men,0-64
chile,men,45-64
chile,men,65+
chile,men,all_ages
chile,women,0-44
chile,women,0-64
chile,women,45-64
chile,women,65+
chile,women,all_ages
